pair,strategy,regime,entry_bar,entry_time,entry_price,quantity,initial_stop_price,stop_price,entry_value,entry_fee,exit_bar,exit_time,exit_price,exit_value,exit_fee,pnl,return_pct,hold_bars,close_reason,open_time,close_time,profit,gross_profit,gain,holding_period,entry_rsi,entry_rsi_slope,entry_volatility,entry_rolling_gain,entry_quote_vol_per_unit_change,entry_rank_score,entry_sqn_30,entry_sqn_90,entry_btc_sqn_90_pct,entry_rs_ratio,entry_rs_ratio_mom60,entry_rs_sqn_90,entry_peak_count,entry_trough_count,entry_rs_ok,entry_higher_rsi,entry_LL,entry_lower_rsi,entry_HH,entry_qvpuc,entry_candle_return_1,entry_return_3,entry_return_6,entry_return_12,entry_candle_range_pct,entry_candle_body_pct,entry_close_location,entry_body_to_range,entry_upper_wick_to_range,entry_lower_wick_to_range,entry_ema7_distance,entry_ema7_slope_1,entry_ema7_slope_6,entry_ema7_high_distance,entry_ema7_high_slope_1,entry_ema7_high_slope_6,entry_ema25_distance,entry_ema25_slope_1,entry_ema25_slope_6,entry_ema50_distance,entry_ema50_slope_1,entry_ema50_slope_6,entry_ema100_distance,entry_ema100_slope_1,entry_ema100_slope_6,entry_ema200_distance,entry_ema200_slope_1,entry_ema200_slope_6,entry_ma25_distance,entry_ma25_slope_1,entry_ma25_slope_6,entry_ma50_distance,entry_ma50_slope_1,entry_ma50_slope_6,entry_ma100_distance,entry_ma100_slope_1,entry_ma100_slope_6,entry_ma200_distance,entry_ma200_slope_1,entry_ma200_slope_6,entry_fraction_emas_below_close,entry_ema25_ema50_spread,entry_ema50_ema200_spread,entry_range_position,entry_distance_above_max,entry_distance_from_min,entry_rolling_range_pct,entry_rolling_42_position,entry_rolling_42_range_pct,entry_swing_range_position,entry_prev_high_remaining,entry_distance_from_prev_high,entry_distance_from_prev_low,entry_boll_position,entry_boll_width_pct,entry_boll_upper_extension,entry_boll_lower_distance,entry_boll_mid_distance,entry_support_distance,entry_resistance_distance,entry_upper_trend_distance,entry_lower_trend_distance,entry_short_spread_pct,entry_ema7_distance_spreads,entry_ema7_high_distance_spreads,entry_ema25_distance_spreads,entry_ema50_distance_spreads,entry_ema100_distance_spreads,entry_ema200_distance_spreads,entry_max_distance_spreads,entry_min_distance_spreads,entry_prev_high_distance_spreads,entry_prev_low_distance_spreads,entry_nearest_support_distance_spreads,entry_nearest_resistance_distance_spreads,entry_quote_volume_ratio_7,entry_quote_volume_zscore_7,entry_quote_volume_ratio_20,entry_quote_volume_zscore_20,entry_quote_volume_ratio_42,entry_quote_volume_zscore_42,entry_quote_volume_change_1,entry_quote_volume_change_6,entry_volume_ratio_7,entry_volume_ratio_20,entry_volume_ratio_42,entry_qvpuc_ratio_20,entry_qvpuc_ratio_42,entry_obv_change_1_normalized,entry_obv_momentum_6
TFUELUSDT,entry_momentum_hh_hl__exit_momentum_hh_hl,neutral,0,2020-10-01 03:59:59.999,0.01059,188817.0955839748,0.009848586309523807,0.010632377380952381,2000.0,2.0,4,2020-10-01 19:59:59.999,0.009920978336930982,1873.2503149308404,1.8732503149308404,-130.6229353840904,-6.531146769204519,4,stop_loss,2020-10-01 03:59:59.999,2020-10-01 19:59:59.999,-130.6229353840904,-126.74968506915957,0.9346885323079548,0 days 16:00:00,38.922436933332136,-69.67268745638567,0.03976685102747447,1.33155505107832,9366608.141779473,1.1506499205890155,0.07067325868963863,0.7366630197205895,0.623015873015873,9.892739725646053e-07,0.30749135701761054,0.10951471699306349,,4.0,1,1,0,0,1,9366608.141779473,-0.00665978801238154,-0.02754820936639113,-0.09726366038700873,0.025765207283998448,0.01633616619452309,-0.008593012275731735,0.057803468208090285,0.5260115606936376,0.41618497109827207,0.057803468208090285,-0.019749824927831314,-0.006414364865131028,-0.029452587741998104,-0.04029082733456793,-0.007915053193064847,-0.02695598142725597,-0.007727438085712395,-0.0006386071435495744,0.007239097879965906,0.025130590049940876,0.0010532885300988948,0.012964059211772794,0.059585243544395906,0.0012816526591741262,0.011124239581878248,0.07880673244885938,0.0008605241141577125,0.006807170546573538,-0.010341831916901929,-0.0014111533378627916,0.004476221948508385,0.041680830972616635,0.0031432864146765382,0.023269226503404905,0.0820557129367295,0.0011019192962546942,0.010137715397876335,0.09619782813975332,-0.0003300459296511349,-0.0005268208735931257,0.6,0.03285802813565327,0.053676142398918505,0.6468585577220676,-0.10774315391879127,0.19735599622285172,0.305099150141643,0.6093803491954811,0.2758262511803588,1.3750000000000009,-0.375000000000001,0.05382436260623239,0.19735599622285172,0.3896972135345275,0.13860445148037603,-0.08459068295499186,0.054013768525384157,-0.015288457214803854,0.11113222322024927,0.05333694384269285,,0.012480327352848358,0.03976685102747447,-0.49664040318873576,-1.0131762081622064,-0.1943185815837818,0.6319482031046018,1.4983646430347006,1.9817192061401265,-2.709371024734967,4.962826855123647,1.353498233215543,4.962826855123647,2.794594501422033,-1.3412413219704762,0.32167436240209346,-1.3122442122240003,0.3711123919843908,-0.8710981786622841,0.2841367035851403,-0.8730562186313113,-0.5610162822252074,-0.7358180221613637,0.3317750516849807,0.37598173498997345,0.2767148115727609,1.0159204049016886,0.9498262018647239,-1.0,-0.5086068277764714
DGBUSDT,entry_three_green_candles__exit_three_green_candles,weak_bull,1,2020-10-01 07:59:59.999,0.0286,70097.02248054164,0.02597047619047619,0.028162399999999997,2005.707809182013,2.005707809182013,4,2020-10-01 19:59:59.999,0.02685825646801638,1882.683807426697,1.8826838074266972,-126.91239337192474,-6.327561412032562,3,accelerated_stop_loss,2020-10-01 07:59:59.999,2020-10-01 19:59:59.999,-126.91239337192474,-123.02400175531602,0.9367243858796743,0 days 12:00:00,87.70361014714358,82.07108510017609,0.046420246420246426,1.2108382726502964,4309901.464937208,0.6795527058409947,0.9435698009517475,0.4856032340036931,0.623015873015873,2.465529448554691e-06,0.06735627888481877,0.0,,4.0,0,1,0,0,1,4309901.464937208,0.03100216294160063,0.09494640122511488,0.18672199170124482,0.18918918918918926,0.08181818181818187,0.033916083916083986,0.4188034188034192,0.4145299145299151,0.5811965811965808,0.004273504273504096,0.07167260326341013,0.02641519552660876,0.08628936265894982,0.043188572162958086,0.03264425643550961,0.09910334329983672,0.11540461380704323,0.010991187741947073,0.02943922876897931,0.12089313238297596,0.005644668330361036,0.013358645311916995,0.12563039720163116,0.0029110986326466026,0.006686030635444817,0.1220252965155042,0.0013987878432073497,0.0028951148291402884,0.13264335664335644,0.0072110699668681555,0.015207818357424907,0.12603496503496403,0.0004803189317705847,-0.005300733029297122,0.12156643356643461,0.002605964586018805,0.011181144195706372,0.14804020979020918,0.0002545171665671031,-0.001567346738074682,1.0,0.005488518575932731,0.0011321641325282394,0.7279894875164259,-0.07237762237762234,0.1937062937062937,0.266083916083916,1.0,0.17412587412587419,3.036585365853655,-2.036585365853655,0.11678321678321675,0.17412587412587419,1.2262069638950543,0.17477535087562068,0.03953540148526699,0.21431075236088767,0.12692307692307733,0.15541958041958046,-0.11874514374514371,,0.16594405594405595,0.046420246420246426,1.5439944591106212,0.9303822252895488,2.486083610204812,2.6043190570019856,2.7063707517682807,2.6287085038454743,-1.5591822094691525,4.172883787661405,2.5157819225251066,3.7510760401721672,3.34809899569584,2.5580463892874215,2.2095396517385444,1.955647727586489,3.7411693991163264,3.131099357246818,4.2405309969940514,4.1938231900199385,1.96906366720366,5.641043672723333,2.045702476004664,3.3688633677050905,3.742909758843415,1.677757477986948,1.1873181644096453,1.0000000000000004,1.0
TFUELUSDT,entry_momentum_hh_hl__exit_momentum_hh_hl,neutral,5,2020-10-01 23:59:59.999,0.009906,196615.05207456462,0.008960184523809521,0.009948833333333334,1948.0906853120032,1.9480906853120032,8,2020-10-02 11:59:59.999,0.009028817586208746,1775.2014398841775,1.7752014398841776,-176.61253755302187,-9.065929983887576,3,accelerated_stop_loss,2020-10-01 23:59:59.999,2020-10-02 11:59:59.999,-176.61253755302187,-172.8892454278257,0.9093407001611242,0 days 12:00:00,22.29230134638035,-70.16102241888122,0.0437565496620617,1.2251697127937338,8991516.439351331,0.8951191284609513,-0.7401883059485468,0.3088643589251327,0.5793650793650794,9.328447810696358e-07,0.22848234410554458,0.06780609210341462,2.0,,1,1,0,0,1,8991516.439351331,-0.0017131915751285032,-0.07446510324208178,-0.07081887252602947,-0.13021336377206072,0.036038764385221043,-0.0029275186755501224,0.46218487394958085,0.08123249299719759,0.45658263305322155,0.46218487394958085,-0.04437095484414165,-0.013964179635963525,-0.04814934471762089,-0.06959503378022502,-0.015407447950399167,-0.04585180692574753,-0.06502915392150257,-0.005062455060029225,-0.01203094007171468,-0.042163320930776044,-0.001648604083382188,0.0010341676006739853,-0.008939587574474769,-0.0001789655299808679,0.004857201515571008,0.012332763381944214,0.00012551082268741354,0.0037737076003339087,-0.07824752675146313,-0.002126331760071931,-0.0031284298865847937,-0.03868766404199387,0.002121264655523536,0.017044915388265247,0.014641631334541298,0.00044482617955798887,0.005214034950408397,0.03525439127801217,-0.0005182119335160884,-0.0018439749645542403,0.2,0.022865832990726538,0.05449608431272026,0.43515939337666343,-0.1842317787199677,0.14193418130425997,0.3261659600242277,0.1535250463821891,0.21764587118917827,0.9250000000000003,0.07499999999999975,-0.011508176862507522,0.14193418130425997,0.038639226476473096,0.17606661748929298,-0.16926353958117762,0.00680307790811535,-0.08123023083653114,0.049756737724857586,0.1260688709160224,0.049300928730062685,,0.0437565496620617,-1.0140414449225337,-1.5905055201499605,-1.4861581734330596,-0.9635887942813042,-0.20430284479732805,0.2818495397190128,-4.210381763251832,3.2437242515792177,-0.2630046690469626,3.2437242515792177,1.137126626965248,-2.8811428663747694,0.5158541503425395,-0.563690110573959,0.5004888542956827,-0.7078014926366603,0.3836234306655267,-0.7519604227287445,-0.8287492933245166,-0.4068800332302679,0.5314432617869179,0.5405104960009558,0.4055027713800417,1.1137646158207117,0.9101248273902574,-1.0,-0.8394887523484945
THETAUSDT,entry_three_green_candles__exit_three_green_candles,neutral,5,2020-10-01 23:59:59.999,0.7277,2677.518458841661,0.6765111904761905,0.696117,1948.492934248797,1.9484929342487969,8,2020-10-02 11:59:59.999,0.660659602530126,1768.9282807854072,1.7689282807854072,-183.2820746784239,-9.406350490518186,3,accelerated_stop_loss,2020-10-01 23:59:59.999,2020-10-02 11:59:59.999,-183.2820746784239,-179.56465346338973,0.9059364950948181,0 days 12:00:00,48.75283489138373,7.877948149848328,0.042598663761230726,1.2389279423665878,60500343.98116498,0.7330049878660934,0.31267595062435166,1.2648018927652285,0.5793650793650794,6.852727106646214e-05,1.7100889534619599,1.8157180686743912,2.0,,1,0,0,1,1,60500343.98116498,0.017349606453326727,0.007992464643386654,-0.027905796230246138,-0.06504952912003903,0.046502679675690654,0.01709495671293116,0.6202718676122934,0.36761229314420724,0.37972813238770664,0.2526595744680861,0.0027431986970959743,0.0009177563497291263,-0.025244226206090126,-0.01654731125414927,0.00036445897967074536,-0.026389079010962768,0.0033667555935693112,0.0002815900146173611,-0.001648543276435377,0.04402855869625055,0.001883391661823719,0.011080921797097965,0.11730286570688028,0.0026919018062332434,0.01647763383875911,0.2127046265189214,0.0027226824715869125,0.016592092220077292,-0.013472584856397372,-0.0004824763505272278,0.005407221115863781,0.04425367596537018,0.004634195806256347,0.027113567859974985,0.13964806925931067,0.0026689126210979186,0.018121108123983154,0.24772928404562214,0.0021271711516051006,0.013611881810326798,1.0,0.04066180310268124,0.16867606782267086,0.7803444278854115,-0.07291466263570152,0.25903531675140856,0.3319499793871101,0.6476057647605764,0.20691218908891024,1.5260350631749222,-0.5260350631749222,0.16534286106912185,0.47966194860519445,0.3945106148057548,0.1169127294496627,-0.07078941667585739,0.046123312773805304,-0.012333051951026044,0.2183288869513299,-0.10266593376391377,-0.00966057441253261,,0.042598663761230726,0.06439635553997293,-0.38844672093233745,0.0790343005226707,1.03356666169236,2.7536747716870464,4.9932229731699955,-1.7116654889551148,6.080831976404809,3.881409567114199,11.260023349411664,5.125252007318413,2.4100740422132816,1.7614705670505473,1.3569470044245537,1.5749112969105952,0.9666070335012777,1.621581665002346,1.1213930744151634,0.391978031004397,2.1798727439064622,1.743624626410878,1.603416126214485,1.5989741791206675,0.9983453583962463,1.1020757891582953,0.999999999999998,-0.05689455499694497
DGBUSDT,entry_momentum_hh_hl__exit_momentum_hh_hl,neutral,6,2020-10-02 03:59:59.999,0.02684,72899.5841629747,0.02205815476190476,0.025229599999999998,1957.542329702735,1.957542329702735,19,2020-10-04 07:59:59.999,0.026311397920473493,1918.089967149075,1.918089967149075,-43.32799485051214,-2.213387378299593,13,time_stop,2020-10-02 03:59:59.999,2020-10-04 07:59:59.999,-43.32799485051214,-39.45236255366012,0.9778661262170041,2 days 04:00:00,54.47904573606355,-79.76332625915492,0.05161982825917253,1.2108382726502964,4174620.6905684825,0.9910535678645668,0.6837251649909739,0.23873474961700736,0.5793650793650794,2.5049133026905217e-06,0.10269470750468046,0.0,2.0,4.0,0,1,0,0,1,4174620.6905684825,0.009022556390977376,0.007885843034171947,-0.03244412400865182,0.09194467046379162,0.027570789865871744,0.009687034277198204,1.0,0.35135135135135226,0.0,0.6486486486486478,-0.00019137357081146344,-6.377491715903183e-05,0.037818691659433634,-0.03100615267782876,-0.009925066714109088,0.04424430509011712,0.035902352391687924,0.00311293797861234,0.034046816208122666,0.05019537241774855,0.002161728402213736,0.019655913325502983,0.06091536368263703,0.0013121587983513372,0.010854386793638371,0.060846273155045,0.0006515640202153783,0.005259585509444165,0.052473919523099745,0.004344117275369541,0.032595985188072385,0.07028315946348643,0.0011474423269810519,-0.0011927920138975479,0.05418777943368191,0.0019537340001025694,0.01307771201896446,0.09249254843517082,-0.00014982872319235785,-9.64702163602782e-05,0.8,0.014293020026060624,0.01065090073729645,0.4967148488830485,-0.14269746646795828,0.14083457526080473,0.283532041728763,0.646586345381526,0.1855439642324889,1.9634146341463388,-0.9634146341463388,0.0588673621460506,0.11997019374068557,0.7016961135397038,0.21691707325815485,-0.06470720599250035,0.15220986726565447,0.04375133063657707,0.10003725782414306,-0.06095794005630063,0.44038748137108796,0.10827123695976151,0.05161982825917253,-0.0037073655078939077,-0.6006636155810758,0.6955147586200715,0.9724048705805048,1.180076837466284,1.1787383880773177,-2.76439250730366,2.728303832273585,1.1404021309503336,2.3241106719367592,1.937961849114968,1.1809016440396385,0.3787633135665156,-1.2686324927428638,0.6073888571135743,-0.5018126143358883,0.7768527768125743,-0.2801558850432352,-0.44791175355583357,-0.4233581953034906,0.39216795669413135,0.6040230370994137,0.752199415872136,1.3308726573518674,1.2061244110068954,0.9999999999999973,0.1889741583228791
STORJUSDT,entry_test_ma50__exit_test_ma50,neutral,9,2020-10-02 15:59:59.999,0.4544,4084.8869070783226,0.4027543809523815,0.4565904761904762,1856.5477157955174,1.8565477157955175,21,2020-10-04 15:59:59.999,0.45687825644519237,1866.2960078817384,1.8662960078817386,6.025448362543557,0.3245512254427404,12,time_stop,2020-10-02 15:59:59.999,2020-10-04 15:59:59.999,6.025448362543557,9.748292086221,1.0032455122544275,2 days 00:00:00,40.609910928817996,50.660959276095035,0.046738765928906606,1.431855500821018,9186950.3397004,0.7001768003448384,0.7506702325109759,0.25019732812714945,0.5793650793650794,4.4655258952475394e-05,1.6325559169514827,0.0,2.0,,0,1,0,1,1,9186950.3397004,0.05502670071975846,-0.09464036660689379,-0.08053419668150541,-0.10091017016224757,0.12059859154929568,0.05501760563380286,0.47810218978102226,0.4562043795620445,0.5218978102189777,0.021897810218977732,-0.025267650780772366,-0.008148041116937232,-0.07008769934664916,-0.07524616718339602,-0.003800450003802247,-0.04325018072687925,-0.0319115270599228,-0.0025704319779067397,-0.007611104040756378,0.01746813629200259,0.0007261880682374322,0.010793816751868412,0.04485051847636802,0.0009495177754592632,0.009040736010848205,0.0823967338641461,0.0009032835047639853,0.007139744558973149,-0.06726232394366144,0.0011643270024772612,0.02880005430770405,0.055233274647886486,0.006744429279640585,0.04393097880535746,0.10079885563380399,7.587513400530987e-05,-0.00029849358605771315,-0.018451804577465068,-0.0023809575135428362,-0.014894158241650302,0.6,0.049379663351925396,0.0649285975721435,0.6895306859205778,-0.1514084507042253,0.3362676056338029,0.4876760563380282,0.564005069708492,0.3472711267605634,1.5310621242484974,-0.5310621242484974,0.11663732394366207,0.3362676056338029,0.08287820572910452,0.19742017160198969,-0.18105834200488488,0.01636182959710482,-0.08234825620389002,0.33757230885311873,-0.22997359154929584,0.30743838028169046,,0.046738765928906606,-0.5406144188574957,-1.6099305509660107,-0.6827635780641444,0.3737397841991169,0.9595999719930397,1.7629206126126244,-3.2394618834080817,7.194618834080745,2.4955156950672754,7.194618834080745,7.222533632287022,4.920403587443965,0.9596044349863091,-0.073452437726349,0.9673799010664386,-0.06045499456562137,1.151976970845615,0.20301656078064878,-0.0685836326422945,1.5381279504626524,0.9898089209964437,1.0493903872843722,1.1800794463331914,0.7245152654464143,0.9258866224524559,0.9999999999999991,-0.46389089976214903
THETAUSDT,entry_test_ema50__exit_test_ema50,neutral,12,2020-10-03 03:59:59.999,0.69576,2686.3948640717467,0.655269919546584,0.7290639999999999,1869.2031872224293,1.8692031872224293,17,2020-10-03 23:59:59.999,0.7519453051931457,2020.022005933729,2.020022005933729,146.92959351814352,7.860546917666868,5,trailing_stop,2020-10-03 03:59:59.999,2020-10-03 23:59:59.999,146.92959351814352,150.81881871129963,1.0786054691766687,0 days 20:00:00,45.82471791125889,65.25717559462107,0.045343871997459394,1.1817521341647999,29836065.274252545,1.111080690882604,-0.561249244926868,0.7819484662106873,0.5357142857142857,6.612994777870279e-05,1.586417016024566,1.7089174951253634,4.0,1.0,1,0,0,1,1,29836065.274252545,-0.004663671997939822,0.03411067017434344,-0.0500662179320891,-0.059453321437261675,0.020898010808324704,-0.00435494998275264,0.6430536451169245,0.20839064649243313,0.1485557083906424,0.6430536451169245,-0.00013462406686676206,-4.486663545033576e-05,-0.0433493271834845,-0.019398762696254807,-0.003888849073605982,-0.040268710399994134,-0.021559141120140055,-0.0017555919508426276,-0.0207251069794242,0.001515630357056514,6.196020533244528e-05,-0.0034383432654533364,0.067470365794994,0.0014637957352998665,0.007287629655533312,0.16498922584628942,0.00198977382716925,0.01125328857323038,-0.04440784178452398,-0.001103565831798492,-0.013808846521323637,-0.02159394043923182,0.0018405070541964719,0.016995127529273457,0.08376422904449872,0.003015591201258161,0.015153891759098759,0.20434948832930788,0.0017136090597262843,0.009117538168081474,0.6,0.023074771477196568,0.1634735954892329,0.6481205497598942,-0.1221685638725997,0.22502012188110845,0.34718868575370815,0.2921385742838109,0.17258824882143262,1.8557319907048797,-0.8557319907048797,0.12702656088306313,0.275468552374382,0.273495003474611,0.1824288044392971,-0.13253543793530242,0.04989336650399469,-0.04132103571565387,0.18244499688755145,-0.06147234678624825,0.02564102564102559,0.14187363458663965,0.045343871997459394,-0.0029689583385006254,-0.42781442875768777,-0.4754587592640524,0.03342525219596232,1.487970983130297,3.638622344724635,-2.694268453286141,4.962525518193865,2.801405245899168,6.075099903021437,4.023586624842577,1.3556924911417474,0.4494024011776142,-1.4867379106956105,0.26676164097248606,-1.0996465655115817,0.27420795855408187,-1.2033690026951203,-0.35266382994675083,-0.44373286223372677,0.44595832112467626,0.27908620555539915,0.28567219733539034,0.5001138024415389,0.5448559615817091,-1.0,-0.045054463395896985
ZILUSDT,entry_three_green_candles__exit_three_green_candles,weak_bull,15,2020-10-03 15:59:59.999,0.01939,97756.96573748303,0.01780648809523809,0.0200126,1895.6973422101314,1.8956973422101315,24,2020-10-05 03:59:59.999,0.020618475095652334,2015.5995634848323,2.0155995634848325,115.99092436900605,6.1186415039109585,9,trailing_stop,2020-10-03 15:59:59.999,2020-10-05 03:59:59.999,115.99092436900605,119.90222127470088,1.0611864150391095,1 days 12:00:00,67.26455652849504,73.19607260264094,0.04016552469363219,1.3123759099933818,18934417.654082526,0.6911491475238402,0.9200755755197598,0.4862269049287526,0.5357142857142857,1.7047604631802014e-06,0.09048395053556746,-0.39877767008349957,2.0,,0,1,0,1,1,18934417.654082526,0.029739776951672958,0.09116488463702876,0.08445190156599547,-0.02218860312657589,0.04228984012377521,0.03145951521402782,0.9024390243902438,0.7439024390243884,0.0975609756097562,0.1585365853658554,0.04763259823772703,0.016954302733232618,0.01177025834674561,0.03235219087257993,0.012725787289522561,-0.009294340452326355,0.06985108101061516,0.006297465234675892,0.01051836337421963,0.105986235829394,0.0048623447819766685,0.015497621896725988,0.12986605483936808,0.0030242365949835204,0.010876479748682444,0.10722753563254217,0.0012085566427679773,0.0035049328410488023,0.05246003094378166,0.009117472592657716,0.0387859872899563,0.11945332645693464,0.005583367689498964,0.027564125711672105,0.16311500773594798,0.001543000333288136,0.006881232044575913,0.13563692625064253,-0.0011145082753731828,-0.007843717626165425,1.0,0.036135154818778846,0.001241299803148169,0.9303797468354431,-0.022692109334708582,0.3032490974729243,0.32594120680763283,0.9067796610169493,0.24342444559051057,2.006825938566553,-1.0068259385665532,0.15214027849406916,0.3032490974729243,0.7196972571762098,0.18522549736951158,-0.05191921495357482,0.13330628241593676,0.04069353373118097,-0.02012003035250307,0.1270781743953951,0.2150593089221248,,0.04016552469363219,1.185907531422804,0.8054716356714,1.739080506066171,2.6387364944891902,3.23327171324011,2.6696411026728586,-0.5649648425557894,7.549984714154652,3.787832467135413,7.549984714154652,-0.5009278605463576,-3.163861927976805,1.2427113363212285,0.5685340918858536,0.6921359366406287,-0.5068950814144841,1.0432759259711748,0.04871434027449639,0.07005525761306419,-0.251895532720363,1.1777855487262234,0.6769677186666276,0.9822195322339325,0.6111866688267391,0.8393413230478177,1.0000000000000013,0.22937753545476844
DGBUSDT,entry_three_green_candles__exit_three_green_candles,neutral,20,2020-10-04 11:59:59.999,0.02645,71799.75087966243,0.024685684523809523,0.0253048,1900.365044110691,1.9003650441106912,32,2020-10-06 11:59:59.999,0.024821492272314238,1782.1769616136285,1.7821769616136285,-121.870624502787,-6.413011272779882,12,time_stop,2020-10-04 11:59:59.999,2020-10-06 11:59:59.999,-121.870624502787,-118.18808249706262,0.9358698872722012,2 days 00:00:00,65.39234606028317,71.05085768985009,0.05154829417589342,1.2077702702702704,2860569.4001548784,0.3063337612372231,0.5005169611046361,0.22360015322301977,0.5396825396825397,2.4568253263593644e-06,0.05149963089308662,0.0,,4.0,0,1,0,1,1,2860569.4001548784,0.004557538928978477,0.021235521235521304,0.033203125,0.06182256122039331,0.025330812854442362,0.002268431001890398,0.29850746268657036,0.08955223880597162,0.7014925373134296,0.20895522388059873,0.016191653121296536,0.005516308580492568,0.015695081868126515,0.002880382080654162,0.006951120960795754,0.009338131038758801,0.023752714659262132,0.002031672093071979,0.004842926689009985,0.03196045338514497,0.0013493959044976744,0.0042864609992474545,0.042185700331297635,0.0008905644257117817,0.003359767035523875,0.044442939949728116,0.00046765558652483996,0.001767382567781528,0.012400756143667499,0.003611495312739965,0.014289042478837999,0.04429489603024463,0.0012913039000546078,0.006257662850500667,0.030551984877127274,0.0009681033372239689,0.0028236545598891993,0.08242722117202256,-0.00012153546672710736,-0.0011523677040720104,1.0,0.008207738725882837,0.012482486564583143,0.4014184397163124,-0.15954631379962184,0.10699432892249537,0.2665406427221172,0.563008130081301,0.18601134215500947,1.9519999999999993,-0.9519999999999992,0.04499054820415879,0.09224952741020798,0.5434236227779203,0.14884128959893572,-0.06795741678614448,0.08088387281279125,0.0064632280133233855,0.08676748582230631,-0.047111951270741435,,0.035160680529300575,0.05154829417589342,0.3141064778215022,0.05587735009864155,0.4607856581677168,0.6200099129583087,0.8183723827475516,0.8621612152301225,-3.0950842573998063,2.07561337640793,0.8727844232952066,1.7895747838994158,1.6832271020693281,0.9139381239267731,1.177556820298817,0.8498018979781113,0.4606974103193413,-0.6288539000049929,0.5292638212437801,-0.5571711966719999,0.1315489559404539,0.6984308254186755,1.1464262353665104,0.46171327325170575,0.5148975377768231,0.8365006348837927,0.9654815947832134,1.0,0.3058240767133106
STORJUSDT,entry_test_ema50__exit_test_ema50,neutral,22,2020-10-04 19:59:59.999,0.4651,4106.1166524774035,0.4263396402125605,0.47319599999999995,1910.3026507350576,1.9103026507350576,34,2020-10-06 19:59:59.999,0.4528893753054206,1859.616605671676,1.859616605671676,-54.45596431978811,-2.850645906753792,12,time_stop,2020-10-04 19:59:59.999,2020-10-06 19:59:59.999,-54.45596431978811,-50.68604506338147,0.9714935409324621,2 days 00:00:00,51.50359296701973,56.067457255727895,0.04688187896100157,1.3370815231280349,6659800.31647247,0.4268900432142016,-0.45985112890356233,0.25311424565632495,0.5396825396825397,4.3691650398498966e-05,1.5750165377066265,0.0,3.0,2.0,0,1,0,1,1,6659800.31647247,0.01772428884026267,0.0004302000430200792,-0.013364446330080604,-0.0025734505683036035,0.03547624166845831,0.019350677273704597,0.7333333333333352,0.5454545454545473,0.2666666666666649,0.18787878787878784,0.005548876926248849,0.0018634121013003657,-0.011889812231226426,-0.011054161780146742,-0.000525192306265243,-0.012047810761317668,-0.0009354785585855702,-7.78776226321165e-05,-0.006264706676074705,0.024735341660905668,0.0010362848818983306,0.0042491201472969475,0.05194964079612541,0.0011082225206155982,0.005723212742063222,0.09109075144087614,0.0010082502499295654,0.00556877222066654,-0.0180692324231345,-0.003392855639464898,-0.02433073981273881,0.013631477101697988,0.003091751103103446,0.022361084492540817,0.11186626531928746,0.0010930153652271013,0.005792662140971849,0.027149000215007286,-0.0009251653815919303,-0.008384852914426588,0.8,0.025670820219491238,0.06635540977997047,0.7378158844765343,-0.12491937217802619,0.35153730380563325,0.47645667598365943,0.5595147839272178,0.2835949258224038,1.6382765531062127,-0.6382765531062128,0.13695979359277582,0.35153730380563325,0.45759930827307593,0.13981056401858677,-0.07583334663441287,0.06397721738417392,-0.005928064625119477,0.35281199127683754,-0.24768866910341866,0.033003655127929306,0.29047516663083195,0.04688187896100157,0.1183586718199723,-0.2357875158831003,-0.019953947651367446,0.5276098614025608,1.108096389211265,1.9429842288669674,-2.66455557982093,7.498362087792121,2.92138021402054,7.498362087792121,7.525551430443354,5.283249617820504,0.8185879097004342,-0.8041965814626862,0.43947644706630795,-0.7265710815345043,0.3114316458318945,-0.9410615136314133,-0.18452070446873292,-0.009100530375577343,0.8155098903628512,0.4405078664170527,0.3192059865385197,0.7742958065659754,0.6452562436845015,0.9999999999999972,-0.4829201766572201
